"Comment","Designator","Footprint","LCSC"
"22u","C1,C2","Capacitor_SMD:C_1206_3216Metric","C2858005"
"10u","C10,C17","Capacitor_SMD:C_0805_2012Metric","C88484"
"4.7u","C11,C13","Capacitor_SMD:C_0402_1005Metric","C368809"
"10n","C14","Capacitor_SMD:C_0402_1005Metric","C60133"
"10p","C15,C16","Capacitor_SMD:C_0402_1005Metric","C115606"
"22n","C18,C19","Capacitor_SMD:C_0805_2012Metric","C51574"
"100n","C3,C4,C5,C6,C7,C8,C9,C12","Capacitor_SMD:C_0402_1005Metric","C77020"
"SM4007","D1,D2,D4,D5,D6,D8,D9,D10,D11,D12,D13,D14,D16,D17,D18,D20","Diode_SMD:D_SOD-123F","C64898"
"SMF9.0CA","DP1","Acheron_Components:D_SOD-123_Bidirectional","C123799"
"ASMD1206-150","F1","Fuse:Fuse_1206_3216Metric","C883134"
"TYPE-C-31-M12_13","J1","Acheron_Connectors:TYPE-C-31-M-12","C165948"
"60R@100MHz","L1","Inductor_SMD:L_1206_3216Metric","C33600"
"5.1k","R1,R2","Resistor_SMD:R_0805_2012Metric","C144526"
"10k","R3,R4","Resistor_SMD:R_0805_2012Metric","C84376"
"10k","R7","Resistor_SMD:R_0402_1005Metric","C60490"
"SW_BOOT","SW1","Button_Switch_SMD:SW_SPDT_PCM12","C431540"
"TPD4E05U06DQAR","U1","Package_SON:USON-10_2.5x1.0mm_P0.5mm","C138714"
"TXS0101DBVR","U2","Acheron_Components:SOT-23-6","C132604"
"STM32F401RCTx","U3","Package_QFP:LQFP-64_10x10mm_P0.5mm","C74524"
"AMS1117-3.3","U4","Package_TO_SOT_SMD:SOT-223-3_TabPin2","C6186"
"16MHz","Y1","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","C112972"
